move_id,phase,state_step,candidate_id,receiver,role,primitive,level,accepted,accepted_cumulative,flight_step_m,flight_cumulative_m
72,stage_ii,6,1,1,probe_inverse,F,0,0,4,5.0,44.84375
73,stage_ii,6,2,1,probe,L,0,0,4,5.0,49.84375
74,stage_ii,6,2,1,probe_inverse,R,0,0,4,5.0,54.84375
75,stage_ii,6,3,1,probe,R,0,0,4,5.0,59.84375
76,stage_ii,6,3,1,probe_inverse,L,0,0,4,5.0,64.84375
77,stage_ii,6,0,3,probe,F,0,0,4,5.000000000000001,69.84375
78,stage_ii,6,0,3,probe_inverse,B,0,0,4,5.000000000000001,74.84375
79,stage_ii,6,1,3,probe,B,0,0,4,5.000000000000001,79.84375
80,stage_ii,6,1,3,probe_inverse,F,0,0,4,5.000000000000001,84.84375
81,stage_ii,6,2,3,probe,L,0,0,4,5.000000000000001,89.84375
82,stage_ii,6,2,3,probe_inverse,R,0,0,4,5.000000000000001,94.84375
83,stage_ii,6,3,3,probe,R,0,0,4,5.000000000000001,99.84375
84,stage_ii,6,3,3,probe_inverse,L,0,0,4,5.000000000000001,104.84375
85,stage_ii,6,0,4,probe,F,0,0,4,5.0,109.84375
86,stage_ii,6,0,4,probe_inverse,B,0,0,4,5.0,114.84375
87,stage_ii,6,1,4,probe,B,0,0,4,5.0,119.84375
88,stage_ii,6,1,4,probe_inverse,F,0,0,4,5.0,124.84375
89,stage_ii,6,2,4,probe,L,0,0,4,5.0,129.84375
90,stage_ii,6,2,4,probe_inverse,R,0,0,4,5.0,134.84375
91,stage_ii,6,3,4,probe,R,0,0,4,5.0,139.84375
92,stage_ii,6,3,4,probe_inverse,L,0,0,4,5.0,144.84375
93,stage_ii,6,0,6,probe,F,0,0,4,5.0,149.84375
94,stage_ii,6,0,6,probe_inverse,B,0,0,4,5.0,154.84375
95,stage_ii,6,1,6,probe,B,0,0,4,5.0,159.84375
96,stage_ii,6,1,6,probe_inverse,F,0,0,4,5.0,164.84375
97,stage_ii,6,2,6,probe,L,0,0,4,5.0,169.84375
98,stage_ii,6,2,6,probe_inverse,R,0,0,4,5.0,174.84375
99,stage_ii,6,3,6,probe,R,0,0,4,5.0,179.84375
100,stage_ii,6,3,6,probe_inverse,L,0,0,4,5.0,184.84375
101,stage_ii,6,0,7,probe,F,0,0,4,5.0,189.84375
102,stage_ii,6,0,7,probe_inverse,B,0,0,4,5.0,194.84375
103,stage_ii,6,1,7,probe,B,0,0,4,5.0,199.84375
104,stage_ii,6,1,7,probe_inverse,F,0,0,4,5.0,204.84375
105,stage_ii,6,2,7,probe,L,0,0,4,5.0,209.84375
106,stage_ii,6,2,7,probe_inverse,R,0,0,4,5.0,214.84375
107,stage_ii,6,3,7,probe,R,0,0,4,5.0,219.84375
108,stage_ii,6,3,7,probe_inverse,L,0,0,4,5.0,224.84375
109,stage_ii,6,0,9,probe,F,0,0,4,5.0,229.84375
110,stage_ii,6,0,9,probe_inverse,B,0,0,4,5.0,234.84375
111,stage_ii,6,1,9,probe,B,0,0,4,5.0,239.84375
112,stage_ii,6,1,9,probe_inverse,F,0,0,4,5.0,244.84375
113,stage_ii,6,2,9,probe,L,0,0,4,5.0,249.84375
114,stage_ii,6,2,9,probe_inverse,R,0,0,4,5.0,254.84375
115,stage_ii,6,3,9,probe,R,0,0,4,5.0,259.84375
116,stage_ii,6,3,9,probe_inverse,L,0,0,4,5.0,264.84375
117,stage_ii,6,-1,1,commit,L,0,1,5,5.0,269.84375
118,stage_ii,6,-1,3,commit,L,0,1,6,5.000000000000001,274.84375
119,stage_ii,6,-1,4,commit,L,0,1,7,5.0,279.84375
120,stage_ii,6,-1,6,commit,L,0,1,8,5.0,284.84375
121,stage_ii,6,-1,7,commit,L,0,1,9,5.0,289.84375
122,stage_ii,6,-1,9,commit,B,0,1,10,5.0,294.84375
123,stage_ii,7,0,1,probe,F,0,0,10,5.0,299.84375
124,stage_ii,7,0,1,probe_inverse,B,0,0,10,5.0,304.84375
125,stage_ii,7,1,1,probe,B,0,0,10,5.0,309.84375
126,stage_ii,7,1,1,probe_inverse,F,0,0,10,5.0,314.84375
127,stage_ii,7,2,1,probe,L,0,0,10,5.0,319.84375
128,stage_ii,7,2,1,probe_inverse,R,0,0,10,5.0,324.84375
129,stage_ii,7,3,1,probe,R,0,0,10,5.0,329.84375
130,stage_ii,7,3,1,probe_inverse,L,0,0,10,5.0,334.84375
131,stage_ii,7,0,3,probe,F,0,0,10,5.000000000000001,339.84375
132,stage_ii,7,0,3,probe_inverse,B,0,0,10,5.000000000000001,344.84375
133,stage_ii,7,1,3,probe,B,0,0,10,5.000000000000001,349.84375
134,stage_ii,7,1,3,probe_inverse,F,0,0,10,5.000000000000001,354.84375
135,stage_ii,7,2,3,probe,L,0,0,10,5.000000000000001,359.84375
136,stage_ii,7,2,3,probe_inverse,R,0,0,10,5.000000000000001,364.84375
137,stage_ii,7,3,3,probe,R,0,0,10,5.000000000000001,369.84375
138,stage_ii,7,3,3,probe_inverse,L,0,0,10,5.000000000000001,374.84375
139,stage_ii,7,0,4,probe,F,0,0,10,5.0,379.84375
140,stage_ii,7,0,4,probe_inverse,B,0,0,10,5.0,384.84375
141,stage_ii,7,1,4,probe,B,0,0,10,5.0,389.84375
142,stage_ii,7,1,4,probe_inverse,F,0,0,10,5.0,394.84375
143,stage_ii,7,2,4,probe,L,0,0,10,5.0,399.84375
144,stage_ii,7,2,4,probe_inverse,R,0,0,10,5.0,404.84375
145,stage_ii,7,3,4,probe,R,0,0,10,5.0,409.84375
146,stage_ii,7,3,4,probe_inverse,L,0,0,10,5.0,414.84375
147,stage_ii,7,0,6,probe,F,0,0,10,5.0,419.84375
148,stage_ii,7,0,6,probe_inverse,B,0,0,10,5.0,424.84375
149,stage_ii,7,1,6,probe,B,0,0,10,5.0,429.84375
150,stage_ii,7,1,6,probe_inverse,F,0,0,10,5.0,434.84375
151,stage_ii,7,2,6,probe,L,0,0,10,5.0,439.84375
152,stage_ii,7,2,6,probe_inverse,R,0,0,10,5.0,444.84375
153,stage_ii,7,3,6,probe,R,0,0,10,5.0,449.84375
154,stage_ii,7,3,6,probe_inverse,L,0,0,10,5.0,454.84375
155,stage_ii,7,0,7,probe,F,0,0,10,5.0,459.84375
156,stage_ii,7,0,7,probe_inverse,B,0,0,10,5.0,464.84375
157,stage_ii,7,1,7,probe,B,0,0,10,5.0,469.84375
158,stage_ii,7,1,7,probe_inverse,F,0,0,10,5.0,474.84375
159,stage_ii,7,2,7,probe,L,0,0,10,5.0,479.84375
160,stage_ii,7,2,7,probe_inverse,R,0,0,10,5.0,484.84375
161,stage_ii,7,3,7,probe,R,0,0,10,5.0,489.84375
162,stage_ii,7,3,7,probe_inverse,L,0,0,10,5.0,494.84375
163,stage_ii,7,0,9,probe,F,0,0,10,5.0,499.84375
164,stage_ii,7,0,9,probe_inverse,B,0,0,10,5.0,504.84375
165,stage_ii,7,1,9,probe,B,0,0,10,5.0,509.84375
166,stage_ii,7,1,9,probe_inverse,F,0,0,10,5.0,514.84375
167,stage_ii,7,2,9,probe,L,0,0,10,5.0,519.84375
168,stage_ii,7,2,9,probe_inverse,R,0,0,10,5.0,524.84375
169,stage_ii,7,3,9,probe,R,0,0,10,5.0,529.84375
170,stage_ii,7,3,9,probe_inverse,L,0,0,10,5.0,534.84375
171,stage_ii,7,-1,3,commit,L,0,1,11,5.000000000000001,539.84375
172,stage_ii,7,-1,4,commit,F,0,1,12,5.0,544.84375
173,stage_ii,7,-1,6,commit,L,0,1,13,5.0,549.84375
174,stage_ii,7,-1,7,commit,B,0,1,14,5.0,554.84375
175,stage_ii,7,-1,9,commit,B,0,1,15,5.0,559.84375
176,stage_ii,8,0,1,probe,F,1,0,15,2.4999999999999996,562.34375
177,stage_ii,8,0,1,probe_inverse,B,1,0,15,2.4999999999999996,564.84375
178,stage_ii,8,1,1,probe,B,1,0,15,2.4999999999999996,567.34375
179,stage_ii,8,1,1,probe_inverse,F,1,0,15,2.4999999999999996,569.84375
180,stage_ii,8,2,1,probe,L,1,0,15,2.4999999999999996,572.34375
181,stage_ii,8,2,1,probe_inverse,R,1,0,15,2.4999999999999996,574.84375
182,stage_ii,8,3,1,probe,R,1,0,15,2.4999999999999996,577.34375
183,stage_ii,8,3,1,probe_inverse,L,1,0,15,2.4999999999999996,579.84375
184,stage_ii,8,0,3,probe,F,0,0,15,5.000000000000001,584.84375
185,stage_ii,8,0,3,probe_inverse,B,0,0,15,5.000000000000001,589.84375
186,stage_ii,8,1,3,probe,B,0,0,15,5.000000000000001,594.84375
187,stage_ii,8,1,3,probe_inverse,F,0,0,15,5.000000000000001,599.84375
188,stage_ii,8,2,3,probe,L,0,0,15,5.000000000000001,604.84375
189,stage_ii,8,2,3,probe_inverse,R,0,0,15,5.000000000000001,609.84375
190,stage_ii,8,3,3,probe,R,0,0,15,5.000000000000001,614.84375
191,stage_ii,8,3,3,probe_inverse,L,0,0,15,5.000000000000001,619.84375
192,stage_ii,8,0,4,probe,F,0,0,15,5.0,624.84375
193,stage_ii,8,0,4,probe_inverse,B,0,0,15,5.0,629.84375
194,stage_ii,8,1,4,probe,B,0,0,15,5.0,634.84375
195,stage_ii,8,1,4,probe_inverse,F,0,0,15,5.0,639.84375
196,stage_ii,8,2,4,probe,L,0,0,15,5.0,644.84375
197,stage_ii,8,2,4,probe_inverse,R,0,0,15,5.0,649.84375
198,stage_ii,8,3,4,probe,R,0,0,15,5.0,654.84375
199,stage_ii,8,3,4,probe_inverse,L,0,0,15,5.0,659.84375
200,stage_ii,8,0,6,probe,F,0,0,15,5.0,664.84375
201,stage_ii,8,0,6,probe_inverse,B,0,0,15,5.0,669.84375
202,stage_ii,8,1,6,probe,B,0,0,15,5.0,674.84375
203,stage_ii,8,1,6,probe_inverse,F,0,0,15,5.0,679.84375
204,stage_ii,8,2,6,probe,L,0,0,15,5.0,684.84375
205,stage_ii,8,2,6,probe_inverse,R,0,0,15,5.0,689.84375
206,stage_ii,8,3,6,probe,R,0,0,15,5.0,694.84375
207,stage_ii,8,3,6,probe_inverse,L,0,0,15,5.0,699.84375
208,stage_ii,8,0,7,probe,F,0,0,15,5.0,704.84375
209,stage_ii,8,0,7,probe_inverse,B,0,0,15,5.0,709.84375
210,stage_ii,8,1,7,probe,B,0,0,15,5.0,714.84375
211,stage_ii,8,1,7,probe_inverse,F,0,0,15,5.0,719.84375
212,stage_ii,8,2,7,probe,L,0,0,15,5.0,724.84375
213,stage_ii,8,2,7,probe_inverse,R,0,0,15,5.0,729.84375
214,stage_ii,8,3,7,probe,R,0,0,15,5.0,734.84375
215,stage_ii,8,3,7,probe_inverse,L,0,0,15,5.0,739.84375
216,stage_ii,8,0,9,probe,F,0,0,15,5.0,744.84375
217,stage_ii,8,0,9,probe_inverse,B,0,0,15,5.0,749.84375
218,stage_ii,8,1,9,probe,B,0,0,15,5.0,754.84375
219,stage_ii,8,1,9,probe_inverse,F,0,0,15,5.0,759.84375
220,stage_ii,8,2,9,probe,L,0,0,15,5.0,764.84375
221,stage_ii,8,2,9,probe_inverse,R,0,0,15,5.0,769.84375
222,stage_ii,8,3,9,probe,R,0,0,15,5.0,774.84375
223,stage_ii,8,3,9,probe_inverse,L,0,0,15,5.0,779.84375
224,stage_ii,8,-1,1,commit,R,1,1,16,2.4999999999999996,782.34375
225,stage_ii,8,-1,3,commit,L,0,1,17,5.000000000000001,787.34375
226,stage_ii,8,-1,6,commit,L,0,1,18,5.0,792.34375
227,stage_ii,8,-1,9,commit,B,0,1,19,5.0,797.34375
228,stage_ii,9,0,1,probe,F,1,0,19,2.4999999999999996,799.84375
229,stage_ii,9,0,1,probe_inverse,B,1,0,19,2.4999999999999996,802.34375
230,stage_ii,9,1,1,probe,B,1,0,19,2.4999999999999996,804.84375
231,stage_ii,9,1,1,probe_inverse,F,1,0,19,2.4999999999999996,807.34375
232,stage_ii,9,2,1,probe,L,1,0,19,2.4999999999999996,809.84375
233,stage_ii,9,2,1,probe_inverse,R,1,0,19,2.4999999999999996,812.34375
234,stage_ii,9,3,1,probe,R,1,0,19,2.4999999999999996,814.84375
235,stage_ii,9,3,1,probe_inverse,L,1,0,19,2.4999999999999996,817.34375
236,stage_ii,9,0,3,probe,F,0,0,19,5.000000000000001,822.34375
237,stage_ii,9,0,3,probe_inverse,B,0,0,19,5.000000000000001,827.34375
238,stage_ii,9,1,3,probe,B,0,0,19,5.000000000000001,832.34375
239,stage_ii,9,1,3,probe_inverse,F,0,0,19,5.000000000000001,837.34375
240,stage_ii,9,2,3,probe,L,0,0,19,5.000000000000001,842.34375
241,stage_ii,9,2,3,probe_inverse,R,0,0,19,5.000000000000001,847.34375
242,stage_ii,9,3,3,probe,R,0,0,19,5.000000000000001,852.34375
243,stage_ii,9,3,3,probe_inverse,L,0,0,19,5.000000000000001,857.34375
244,stage_ii,9,0,4,probe,F,1,0,19,2.5,859.84375
245,stage_ii,9,0,4,probe_inverse,B,1,0,19,2.5,862.34375
246,stage_ii,9,1,4,probe,B,1,0,19,2.5,864.84375
247,stage_ii,9,1,4,probe_inverse,F,1,0,19,2.5,867.34375
248,stage_ii,9,2,4,probe,L,1,0,19,2.5,869.84375
249,stage_ii,9,2,4,probe_inverse,R,1,0,19,2.5,872.34375
250,stage_ii,9,3,4,probe,R,1,0,19,2.5,874.84375
251,stage_ii,9,3,4,probe_inverse,L,1,0,19,2.5,877.34375
252,stage_ii,9,0,6,probe,F,0,0,19,5.0,882.34375
253,stage_ii,9,0,6,probe_inverse,B,0,0,19,5.0,887.34375
254,stage_ii,9,1,6,probe,B,0,0,19,5.0,892.34375
255,stage_ii,9,1,6,probe_inverse,F,0,0,19,5.0,897.34375
256,stage_ii,9,2,6,probe,L,0,0,19,5.0,902.34375
257,stage_ii,9,2,6,probe_inverse,R,0,0,19,5.0,907.34375
258,stage_ii,9,3,6,probe,R,0,0,19,5.0,912.34375
259,stage_ii,9,3,6,probe_inverse,L,0,0,19,5.0,917.34375
260,stage_ii,9,0,7,probe,F,1,0,19,2.5,919.84375
261,stage_ii,9,0,7,probe_inverse,B,1,0,19,2.5,922.34375
262,stage_ii,9,1,7,probe,B,1,0,19,2.5,924.84375
263,stage_ii,9,1,7,probe_inverse,F,1,0,19,2.5,927.34375
264,stage_ii,9,2,7,probe,L,1,0,19,2.5,929.84375
265,stage_ii,9,2,7,probe_inverse,R,1,0,19,2.5,932.34375
266,stage_ii,9,3,7,probe,R,1,0,19,2.5,934.84375
267,stage_ii,9,3,7,probe_inverse,L,1,0,19,2.5,937.34375
268,stage_ii,9,0,9,probe,F,0,0,19,5.0,942.34375
269,stage_ii,9,0,9,probe_inverse,B,0,0,19,5.0,947.34375
270,stage_ii,9,1,9,probe,B,0,0,19,5.0,952.34375
271,stage_ii,9,1,9,probe_inverse,F,0,0,19,5.0,957.34375
272,stage_ii,9,2,9,probe,L,0,0,19,5.0,962.34375
273,stage_ii,9,2,9,probe_inverse,R,0,0,19,5.0,967.34375
274,stage_ii,9,3,9,probe,R,0,0,19,5.0,972.34375
275,stage_ii,9,3,9,probe_inverse,L,0,0,19,5.0,977.34375
276,stage_ii,9,-1,3,commit,F,0,1,20,5.000000000000001,982.34375
277,stage_ii,10,0,1,probe,F,2,0,20,1.25,983.59375
278,stage_ii,10,0,1,probe_inverse,B,2,0,20,1.25,984.84375
279,stage_ii,10,1,1,probe,B,2,0,20,1.25,986.09375
280,stage_ii,10,1,1,probe_inverse,F,2,0,20,1.25,987.34375
281,stage_ii,10,2,1,probe,L,2,0,20,1.25,988.59375
282,stage_ii,10,2,1,probe_inverse,R,2,0,20,1.25,989.84375
283,stage_ii,10,3,1,probe,R,2,0,20,1.25,991.09375
284,stage_ii,10,3,1,probe_inverse,L,2,0,20,1.25,992.34375
285,stage_ii,10,0,3,probe,F,0,0,20,5.000000000000001,997.34375
286,stage_ii,10,0,3,probe_inverse,B,0,0,20,5.000000000000001,1002.34375
287,stage_ii,10,1,3,probe,B,0,0,20,5.000000000000001,1007.34375
288,stage_ii,10,1,3,probe_inverse,F,0,0,20,5.000000000000001,1012.34375
289,stage_ii,10,2,3,probe,L,0,0,20,5.000000000000001,1017.34375
290,stage_ii,10,2,3,probe_inverse,R,0,0,20,5.000000000000001,1022.34375
291,stage_ii,10,3,3,probe,R,0,0,20,5.000000000000001,1027.34375
292,stage_ii,10,3,3,probe_inverse,L,0,0,20,5.000000000000001,1032.34375
293,stage_ii,10,0,4,probe,F,2,0,20,1.25,1033.59375
294,stage_ii,10,0,4,probe_inverse,B,2,0,20,1.25,1034.84375
295,stage_ii,10,1,4,probe,B,2,0,20,1.25,1036.09375
296,stage_ii,10,1,4,probe_inverse,F,2,0,20,1.25,1037.34375
297,stage_ii,10,2,4,probe,L,2,0,20,1.25,1038.59375
298,stage_ii,10,2,4,probe_inverse,R,2,0,20,1.25,1039.84375
299,stage_ii,10,3,4,probe,R,2,0,20,1.25,1041.09375
300,stage_ii,10,3,4,probe_inverse,L,2,0,20,1.25,1042.34375
301,stage_ii,10,0,6,probe,F,1,0,20,2.5,1044.84375
302,stage_ii,10,0,6,probe_inverse,B,1,0,20,2.5,1047.34375
303,stage_ii,10,1,6,probe,B,1,0,20,2.5,1049.84375
304,stage_ii,10,1,6,probe_inverse,F,1,0,20,2.5,1052.34375
305,stage_ii,10,2,6,probe,L,1,0,20,2.5,1054.84375
306,stage_ii,10,2,6,probe_inverse,R,1,0,20,2.5,1057.34375
307,stage_ii,10,3,6,probe,R,1,0,20,2.5,1059.84375
308,stage_ii,10,3,6,probe_inverse,L,1,0,20,2.5,1062.34375
309,stage_ii,10,0,7,probe,F,2,0,20,1.25,1063.59375
310,stage_ii,10,0,7,probe_inverse,B,2,0,20,1.25,1064.84375
311,stage_ii,10,1,7,probe,B,2,0,20,1.25,1066.09375
312,stage_ii,10,1,7,probe_inverse,F,2,0,20,1.25,1067.34375
313,stage_ii,10,2,7,probe,L,2,0,20,1.25,1068.59375
314,stage_ii,10,2,7,probe_inverse,R,2,0,20,1.25,1069.84375
315,stage_ii,10,3,7,probe,R,2,0,20,1.25,1071.09375
316,stage_ii,10,3,7,probe_inverse,L,2,0,20,1.25,1072.34375
317,stage_ii,10,0,9,probe,F,1,0,20,2.5,1074.84375
318,stage_ii,10,0,9,probe_inverse,B,1,0,20,2.5,1077.34375
319,stage_ii,10,1,9,probe,B,1,0,20,2.5,1079.84375
320,stage_ii,10,1,9,probe_inverse,F,1,0,20,2.5,1082.34375
321,stage_ii,10,2,9,probe,L,1,0,20,2.5,1084.84375
322,stage_ii,10,2,9,probe_inverse,R,1,0,20,2.5,1087.34375
323,stage_ii,10,3,9,probe,R,1,0,20,2.5,1089.84375
324,stage_ii,10,3,9,probe_inverse,L,1,0,20,2.5,1092.34375
325,stage_ii,10,-1,1,commit,F,2,1,21,1.25,1093.59375
326,stage_ii,10,-1,4,commit,L,2,1,22,1.25,1094.84375
327,stage_ii,10,-1,6,commit,B,1,1,23,2.5,1097.34375
328,stage_ii,10,-1,9,commit,L,1,1,24,2.5,1099.84375
329,stage_ii,11,0,1,probe,F,2,0,24,1.25,1101.09375
330,stage_ii,11,0,1,probe_inverse,B,2,0,24,1.25,1102.34375
331,stage_ii,11,1,1,probe,B,2,0,24,1.25,1103.59375
332,stage_ii,11,1,1,probe_inverse,F,2,0,24,1.25,1104.84375
333,stage_ii,11,2,1,probe,L,2,0,24,1.25,1106.09375
334,stage_ii,11,2,1,probe_inverse,R,2,0,24,1.25,1107.34375
335,stage_ii,11,3,1,probe,R,2,0,24,1.25,1108.59375
336,stage_ii,11,3,1,probe_inverse,L,2,0,24,1.25,1109.84375
337,stage_ii,11,0,3,probe,F,1,0,24,2.5000000000000004,1112.34375
338,stage_ii,11,0,3,probe_inverse,B,1,0,24,2.5000000000000004,1114.84375
339,stage_ii,11,1,3,probe,B,1,0,24,2.5000000000000004,1117.34375
340,stage_ii,11,1,3,probe_inverse,F,1,0,24,2.5000000000000004,1119.84375
341,stage_ii,11,2,3,probe,L,1,0,24,2.5000000000000004,1122.34375
342,stage_ii,11,2,3,probe_inverse,R,1,0,24,2.5000000000000004,1124.84375
343,stage_ii,11,3,3,probe,R,1,0,24,2.5000000000000004,1127.34375
344,stage_ii,11,3,3,probe_inverse,L,1,0,24,2.5000000000000004,1129.84375
345,stage_ii,11,0,4,probe,F,2,0,24,1.25,1131.09375
346,stage_ii,11,0,4,probe_inverse,B,2,0,24,1.25,1132.34375
347,stage_ii,11,1,4,probe,B,2,0,24,1.25,1133.59375
348,stage_ii,11,1,4,probe_inverse,F,2,0,24,1.25,1134.84375
349,stage_ii,11,2,4,probe,L,2,0,24,1.25,1136.09375
350,stage_ii,11,2,4,probe_inverse,R,2,0,24,1.25,1137.34375
351,stage_ii,11,3,4,probe,R,2,0,24,1.25,1138.59375
352,stage_ii,11,3,4,probe_inverse,L,2,0,24,1.25,1139.84375
353,stage_ii,11,0,6,probe,F,1,0,24,2.5,1142.34375
354,stage_ii,11,0,6,probe_inverse,B,1,0,24,2.5,1144.84375
355,stage_ii,11,1,6,probe,B,1,0,24,2.5,1147.34375
356,stage_ii,11,1,6,probe_inverse,F,1,0,24,2.5,1149.84375
357,stage_ii,11,2,6,probe,L,1,0,24,2.5,1152.34375
358,stage_ii,11,2,6,probe_inverse,R,1,0,24,2.5,1154.84375
359,stage_ii,11,3,6,probe,R,1,0,24,2.5,1157.34375
360,stage_ii,11,3,6,probe_inverse,L,1,0,24,2.5,1159.84375
361,stage_ii,11,0,7,probe,F,3,0,24,0.625,1160.46875
362,stage_ii,11,0,7,probe_inverse,B,3,0,24,0.625,1161.09375
363,stage_ii,11,1,7,probe,B,3,0,24,0.625,1161.71875
364,stage_ii,11,1,7,probe_inverse,F,3,0,24,0.625,1162.34375
365,stage_ii,11,2,7,probe,L,3,0,24,0.625,1162.96875
366,stage_ii,11,2,7,probe_inverse,R,3,0,24,0.625,1163.59375
367,stage_ii,11,3,7,probe,R,3,0,24,0.625,1164.21875
368,stage_ii,11,3,7,probe_inverse,L,3,0,24,0.625,1164.84375
369,stage_ii,11,0,9,probe,F,1,0,24,2.5,1167.34375
370,stage_ii,11,0,9,probe_inverse,B,1,0,24,2.5,1169.84375
371,stage_ii,11,1,9,probe,B,1,0,24,2.5,1172.34375
372,stage_ii,11,1,9,probe_inverse,F,1,0,24,2.5,1174.84375
373,stage_ii,11,2,9,probe,L,1,0,24,2.5,1177.34375
374,stage_ii,11,2,9,probe_inverse,R,1,0,24,2.5,1179.84375
375,stage_ii,11,3,9,probe,R,1,0,24,2.5,1182.34375
